Date,Item,Qty,Gross Sales
2026-05-01,Artisan Bread,35,105.00
2026-05-01,Espresso Blend,42,126.00
2026-05-01,Butter Croissant,58,145.00
2026-05-01,Berry Muffin,24,72.00
2026-05-02,Artisan Bread,48,144.00
2026-05-02,Espresso Blend,55,165.00
2026-05-02,Butter Croissant,72,180.00
2026-05-02,Berry Muffin,31,93.00
2026-05-03,Artisan Bread,52,156.00
2026-05-03,Espresso Blend,60,180.00
2026-05-03,Butter Croissant,85,212.50
2026-05-03,Berry Muffin,38,114.00
2026-05-04,Artisan Bread,28,84.00
2026-05-04,Espresso Blend,38,114.00
2026-05-04,Butter Croissant,45,112.50
2026-05-04,Berry Muffin,18,54.00
2026-05-05,Artisan Bread,30,90.00
2026-05-05,Espresso Blend,40,120.00
2026-05-05,Butter Croissant,48,120.00
2026-05-05,Berry Muffin,20,60.00
2026-05-06,Artisan Bread,32,96.00
2026-05-06,Espresso Blend,44,132.00
2026-05-06,Butter Croissant,52,130.00
2026-05-06,Berry Muffin,22,66.00
2026-05-07,Artisan Bread,36,108.00
2026-05-07,Espresso Blend,46,138.00
2026-05-07,Butter Croissant,56,140.00
2026-05-07,Berry Muffin,25,75.00
2026-05-08,Artisan Bread,44,132.00
2026-05-08,Espresso Blend,54,162.00
2026-05-08,Butter Croissant,68,170.00
2026-05-08,Berry Muffin,29,87.00
2026-05-09,Artisan Bread,55,165.00
2026-05-09,Espresso Blend,65,195.00
2026-05-09,Butter Croissant,90,225.00
2026-05-09,Berry Muffin,42,126.00
2026-05-10,Artisan Bread,58,174.00
2026-05-10,Espresso Blend,68,204.00
2026-05-10,Butter Croissant,95,237.50
2026-05-10,Berry Muffin,45,135.00
