Created at,Lineitem name,Lineitem quantity,Total Sales
2026-06-01,Camiseta Algodón Orgánico,4,96.00
2026-06-01,Sudadera Capucha Vintage,2,90.00
2026-06-02,Camiseta Algodón Orgánico,6,144.00
2026-06-02,Sudadera Capucha Vintage,1,45.00
2026-06-03,Camiseta Algodón Orgánico,3,72.00
2026-06-03,Gorra Trucker Retro,5,100.00
2026-06-04,Camiseta Algodón Orgánico,8,192.00
2026-06-04,Sudadera Capucha Vintage,4,180.00
2026-06-05,Camiseta Algodón Orgánico,12,288.00
2026-06-05,Gorra Trucker Retro,7,140.00
2026-06-06,Camiseta Algodón Orgánico,15,360.00
2026-06-06,Sudadera Capucha Vintage,8,360.00
2026-06-07,Camiseta Algodón Orgánico,11,264.00
2026-06-07,Gorra Trucker Retro,6,120.00
